title,category
"젠슨 황, 이재용·최태원·정의선 중 누가 최고 절친?... ""너무 쉽다""",Economic
“마지막 탈출 기회?” 국장 개미들 패닉…30만전자·200만닉스 와르르,Economic
무너진 30만전자·200만닉스…브로드컴 쇼크 '검은 월요일' 다가왔나,Economic
"""이젠 게임주 아닌 AI주로 불러야 할가요?""…엔비디아가 찾은 엔씨·크래프톤",Economic
뉴욕發 반도체 쇼크·환율 발목까지…증권가의 코스피 대응 전략 들어봤더니,Economic
“자재 나르고 시공도 담당” 건설현장에 들어온 AI로봇,Economic
젠슨황 “AI 밝은 미래는 절대적 사실…주식 싸게 살 때”,Economic
"KC코트렐·GC지놈, 최대주주 지분 보호예수 해제",Economic
"피스피스스튜디오, 상장 첫날 공모가 밑돌아…장중 95% 급등 뒤 급락[이런국장 저런주식]",Economic
원·달러 환율 1555원 돌파…'글로벌 금융위기' 이후 17년 만에 최고,Economic
"수도권 아파트 최고가 거래, 올해 처음 10% 밑으로... “매수 심리 위축”",Economic
"현대차, 엔비디아 '피지컬 AI' 동맹에도 9% 하락[핫종목]",Economic
엔비디아와 손잡은 SKT·하이닉스...AI 팩토리 구축,Economic
"코스피 7,500 하회·환율 1,555원 위로…금융시장 '검은 월요일'",Economic
젠슨 황 ‘깐부株’ 급락장에도 ‘방긋’...SKT·두산로보 2%대 강세[이런국장 저런주식],Economic
"'사실상 20% 할인' 삼성전자, 4주간 파격 세일…""5조원 규모 사회 기여""",Economic
"에이로봇-엔닷라이트, 한화오션 조선업 현장에 휴머노이드 실증",Economic
"대출문 더 좁아진다…주담대 최고 7.3%, 은행들 줄줄이 인상",Economic
"에이전트AI, 로봇 안전 검증 플랫폼 '로보게이트' 엔비디아 인셉션 선정",Economic
美 반도체 쇼크에 '7400피'까지 추락…'30만전자·200만닉스'도 깨졌다,Economic
급락한 코스피… 서킷브레이커 이어 매도사이드카 발동,Economic
청약 당첨자 10명 중 6명은 ‘30대’…신혼부부·생애최초 특공 확대 영향,Economic
"젠슨 황 ""주식시장 급락해도 기뻐해야…지금은 할인 가격""",Economic
"바이젠셀, 교모세포종 신약 'VC302' 전임상서 완전관해 100%",Economic
코스피 무너지자 증권주 동반 급락…신영증권 11%↓,Economic
수도권 레미콘 1만여대 8시부터 운송 중단…반도체 공사 비상,Economic
"[현장] 젠슨 황 ""SK하이닉스는 우리의 최대 파트너…CPU·로봇까지 협력 확대""",Economic
"삼전닉스 2배, '검은 월요일' 직격탄 맞았다…무더기 손실 구간 진입",Economic
'블랙먼데이 쇼크' 코스피 8000선 내주고 천스닥도 깨졌다…환율 1555원,Economic
"삼성중공업, LNG운반선 1척 3천855억원에 수주…목표 61% 달성",Economic
"젠슨 황 “AI 인프라 10년 이상 지속…SK하이닉스, 앞으로도 최대 메모리 파트너”",Economic
"원스토어 '매각설'에…노조 ""헐값 매각 반대""",Economic
수도권 신고가 거래 꺾였지만… 강남 약세·동탄 강세,Economic
"SKT-엔비디아, AI 전용 데이터센터 구축 '맞손'",Economic
양도세 중과전 급매…5월 수도권 아파트 신고가 거래 10% 미만,Economic
가죽재킷 대신 두산 유니폼 입더니…젠슨 황·박정원 회동 결과 보니,Economic
보유 주식만 있어도 돈 번다…대신증권 200만원 지급 행사,Economic
"코스피, 서킷브레이커 해제 후 기관 매수에 낙폭 만회…30만전자 회복",Economic
"엔비디아·SK, 'AI 혈맹'…메모리 공동개발·데이터센터 협력",Economic
"""삼전닉스 믿었는데"" 레버리지 '비명'...인버스 개미들만 웃는다",Economic
"""AI 주식 매우 싸다"" 젠슨 황 구원 등판…삼전닉스 낙폭 줄었다",Economic
수도권 레미콘 1.1만대 멈췄다…반도체 공사 현장도 비상,Economic
방한 마지막 날‥SK·LG·네이버·스타트업까지,Economic
"LG엔솔, 美관세 1천억 돌려받을듯…韓기업 6천곳 환급 신청",Economic
"'검은 월요일' 코스피, 8000선 깨져…서킷 브레이커·사이드카 발동",Economic
"[클릭 e종목]""가격 사이클 끝나간다…반도체 투자 중심축 '소부장'으로 이동 전망""",Economic
[코인뉴스] 6만 달러선 사수한 비트코인…안도는 아직,Economic
삼전 30만원선·하닉 200만원선 붕괴…미국 기술주 급락 여파,Economic
"두산, 엔비디아와 AI팩토리·피지컬AI 전방위 협력 나선다",Economic
변동성 확대 속 '빚투' 최고치…'검은 월요일' 극에 달한 반대매매 공포,Economic
"코스피 20% 하락 경고…""아직 바닥 신호 없다""",Economic
"[뉴스1 PICK]'검은 월요일' 코스피, 8% 폭락에 7,400대…서킷브레이커",Economic
