title,category
[속보] 진주시 평거동 노후 관로 누수… 단수로 600여 가구 피해,Social
"[단독]메디컬아이피, 젠슨 황 만난다…의료 디지털트윈 기술력 인정",Social
잠실개표소 시위 나흘 차…2030 줄고 '부정선거' 구호 높아져,Social
"[단독] ""철근 절반 빠진 실버타운 공사"" 시공사·감리사·신탁사·춘천시·국토부 함께 덮었다",Social
고속도로 터널 입구서 SUV가 옹벽에 '쾅'…운전자 사망,Social
"""형들 기다리던 돈 자랑 3탄""...SK하닉 직원, 또 보육원 후원 '훈훈'",Social
레고랜드 절반이 물놀이장으로… ‘썸머 플레이’ 19일 개막,Social
진안 고속도로 터널서 승용차 사고…50대 운전자 숨져,Social
"""생활비 모자라""…'하반신 마비' 남편 몰래 유흥업소 나간 아내, 이혼 될까",Social
“비싸도 기념일마다 갔는데” 2030 열광하던 오마카세…결국 우르르 폐업,Social
'74명 사상' 안전공업 화재 원인 규명 본격화…발화부 추가 합동감식,Social
'송파 개표소' 나흘째 봉쇄…선관위 수사 본격화,Social
"한성숙 ""전환적 시기에 총리 지명…막중한 책임감""",Social
"""너 죽어도 아무도 신경 안 써"" 30대 친모가 7살 아들 폭행한 이유",Social
필리핀 인근 해역서 규모 7.8 강진 발생…“쓰나미 경보 발령”,Social
"""애가 셋? 애X끼들 키우기 힘들⋯"" 면접관 발언에 분노한 40대 가장",Social
인천서 업주 살해하고 도주한 중국 국적 강도 검거,Social
잔소리 했다고 '주먹질'…80대 노모 멱살 잡은 50대 실형,Social
"""내 집서 핀 것도 안 되냐?""…증거 없는 '층간 흡연'에 우는 윗집",Social
허태정 당선에 대전시 11개 출자·출연기관 장 교체 수순,Social
"10명 중 9명이 찬성했다…“정년 65세로 올려야, 최대한 빨리”",Social
"""서울에 학생이 없다""…저출생 여파에 '70만명대' 진입, 역대 최저",Social
나흘째 이어진 개표소 집회...현장 구호 변화 눈길,Social
BTS 부산 공연에 '반값 시티투어'… 바가지요금 맞서 '착한가격' 띄운다,Social
"""아이를 잘못 키웠습니다""…PC방 난동 여중생 부모의 호소",Social
"""젠슨 다녀감"" 삼겹살집 테이블에 젠슨 황 사인이…""유리 덮어 보존하자""",Social
"민주노총 ""투표지 사태, 선관위 해체 수준의 혁신 해야""",Social
"'투표지 수사' 합수본으로...경찰, 고발인 조사",Social
"“생활비 빠듯한데 주식은 무슨, 희망은 로또뿐”…저소득층 복권소비 급증",Social
"“화려함 대신 진심”… 울산시, ‘작은 결혼식’ 1호 부부 탄생",Social
"'오늘도 즐거웠어, 남편은 모르지' 문자 봤는데…아내 ""휴대폰 왜 봐, 고소""",Social
“돈 자랑할게” 하이닉스 직원이 부른 기적…보육원 ‘도서관’ 이렇게 바뀌었다,Social
"민주노총 ""투표용지 부족, 선관위 적폐 밝혀야…음모론엔 반대""",Social
"선관위 향해 ""국민주권 훼손‥검경이 수사""",Social
상점 주인 둔기로 살해하고 70만원 빼앗아 도주… 40대 男 검거,Social
"한성숙 총리 후보자 ""무거운 책임감...낮은 자세로 임할 것""",Social
결혼 9년만에 임신…쌍둥이 첫째 잃었으나 22주 버텨 둘째 출산,Social
고군산군도 말도∼명도∼방축도 잇는 트레킹코스 임시 개통,Social
"HJ중공업, HD현대 손잡고 자율운항선 시장 선점 나선다",Social
"""'기분 상해죄'가 '아동학대' 되는 것이 현실""…공교육 멈춰 세운 '아동복지법'의 덫",Social
이화영 참여재판 개막…배심원 12명 구성 여부가 '최대 변수',Social
"민주노총 ""투표용지 부족 사태, 선관위 구조적 적폐 밝혀야""",Social
"""선관위 제외, 묵묵한 헌신 인정한다"" 공무원들 마음 울린 격려글",Social
"안전공업 화재 추가 합동 감식…""발화 추정지점 첫 확인""",Social
"""자식 교육 잘못 시켰다""…PC방 소화기 테러 여중생 부모, 고개 숙였다",Social
"""몇알 먹어야 환각돼?"" 놀이 된 청소년 약물 복용 [약에 취하는 아이들②]",Social
"""초여름 수국 보러 오세요""…노원구 20∼21일 '초안산 수국축제'",Social
"2019년 한화 대전공장 폭발로 납품 지연…대법 ""배상금 이자 다시 계산""",Social
"""카페 수조에 멸종위기 백상아리가?""…'경주 투썸' 매장, 사육하다 방류",Social
"젠슨 황, 이재용·정의선·최태원 중 가장 친한 사람 묻자…""쉽다""",Social
"유정복 인천시장 ""선거 관리 부실 사태, 특검+사전투표 폐지해야""",Social
"서울시 노조 ""오세훈, 불필요하고 덜 급한 일 걷어내야""",Social
"서울 시의원·구의원 108명, 벽보·투표·토론도 없이 당선",Social
"SK하이닉스 직원의 '돈 자랑'에 쏟아진 응원…""1억 성과급보다 값진 나눔"" [따뜻했슈]",Social
AI PC의 의미,Social
"경기 안산 공장 화재, 10시간30분 만에 초진…한때 대응 2단계 발령",Social
"""유부남과 불륜·동거까지""…유명 연프 출연자, 상간녀 폭로글 '파장'",Social
경남 통영시 부근 해역에서 규모 2.9 지진,Social
잠실 투표소 봉쇄 시위 나흘째…시민들 2만명까지 모였다,Social
"[단독] 강남구청, 초등학교 옆 ‘사이버 룸살롱’ 제재 착수… 무단 용도 변경 적발",Social
화려했던 '직구시대' 저문다…강달러에 배송대행업체 비명(종합),Social
'74명 사상' 안전공업화재 추가 합동감식…발화부 살핀다,Social
"""건진 만난 적 없다"" 尹 '허위사실 공표' 1심, 오늘 결심공판",Social
고래 품은 8000년 전 뼈 한 점… 8000년 울산 바다가 국가유산 된다,Social
"코스피 7,500선 무너져…서킷브레이커 발동",Social
"""한국 오자마자 PC방으로"" 젠슨 황이 페이커부터 만난 이유",Social
소형 원자로로 대형 화물선 움직인다,Social
"이 대통령 지지 55.2%로 3.9%p 하락…""투표용지 책임론·고환율"" [리얼미터]",Social
월요일 낮 '선선'…강원·충북·경북 등 곳곳 소나기,Social
"""잠실 시위 선결제 해줘"" 아이유·조인성·박보영 등 SNS '불똥'",Social
"""교권 추락 피해 심각…교육력 저하는 곧 국가 경쟁력 소멸로 이어져""",Social
[내일날씨] 전국 맑은 하늘…야외활동 최적,Social
"""영구 보존해야""…젠슨 황, 다녀간 식당에 '사인' 남겨",Social
'상조회' 유감<일상이 뉴스다!>,Social
"절에서 만난 인연, 결혼까지… ‘나는 절로, 낙산사’ 참가자 모집",Social
"""돈보다 생명을""…아프고 힘 없는 이의 의사 우석균 선생 별세",Social
전통시장서 국산수산물 구매하면 최대 2만 원 돌려준다,Social
서울 중형택시→고급·대형 전환 쉬워진다…'무사고' 삭제,Social
"인천서 슈퍼마켓 주인 강도살해, 40대 외국인 긴급체포",Social
국민 88.3% “정년연장 찬성”,Social
"에이비엘바이오 ""글로벌 ADC행사서 이중항체 소개""",Social
여러 겹 쌓아도 전자 특성 유지하는 차세대 2차원 소재 개발,Social
"""XX 놈아"" 욕설에 멱살까지…조국혁신당 총무국장 1심 벌금형",Social
"가게 업주 살해하고 도주한 40대 강도, 하루 만에 검거",Social
"구다이글로벌, 구창근 전 CJ올리브영 대표 선임…공동대표 체제 전환",Social
"가로림만 서산갯벌, 유네스코 세계자연유산 등재 '청신호'",Social
'검사실 술파티 위증 혐의' 이화영 국민참여재판 8일 시작…열흘간 진행,Social
"펩트론, 美학회서 월1회 비만치료제 연구결과 발표",Social
"경찰, '용지 부족' 잠실 투표소 해산 과정서 '과잉진압' 피고발",Social
"부산교통공사, BTS 공연 앞두고 ‘안전 귀가’ 준비 마쳤다”",Social
"李 '투표용지 합수본 구성' 지시에 출범 속도…대검 ""국민적 의혹 엄정 규명""",Social
전재수 부산시장 인수위 가동… '퐁피두센터' 등 기존사업 전면 재검토,Social
"종이상자 공장서 시작된 불, 인접 9개 업체로 번져…소방 10시간여만에 초진",Social
"대법 “2019년 한화 폭발사고 납품 지연 배상금 이자, 다시 계산해야”",Social
안산 공장 화재 10시간 만에 큰불 잡혀,Social
"""비행기 사고 보더니, 못 간다""…칠순여행 일주일 전 취소한 시어머니",Social
한화에어로 공장 폭발로 납품 지연…지체상금은 감액된 사연,Social
세종 첫 여성교육감 강미애…신도시 표심이 승부 갈랐다,Social
"정용진 회장, 광주서 '탱크데이' 직접 사과할까",Social
'송파 개표소 봉쇄' 나흘째…밤샘 시위 계속,Social
서울시 1급 간부들 일괄 사표 제출…민선 9기 앞두고 조직 정비 본격화,Social
"추경호 대구시장 당선자, '소통형' 시장직 인수위원회 구성",Social
"'서흥원 군수 공약' 양구군, 대학생등록금 전액 지원사업 1차 지급 완료…238명 5억5700만원",Social
임시 개통 4개월 포항 해오름대교…주탑 공사는 아직도,Social
"포스텍, 단 한번 접종으로 장기간 면역 효과 내는 백신 기술 개발",Social
휴가 계획 아직이라면… 에어부산이 꺼낸 ‘여름 여행 초대장’,Social
‘탁 치니 억 하고 죽었다’ 대공분실 찾은 중학생들 “민주화 열망 느꼈다” [세상&],Social
"""테무 경찰이세요?"" 도 넘는 조롱에…가족들 울분 [소셜픽]",Social
