title,category
"""누가 이겨도 부정선거?""⋯쓰레기통 안 투표함·용지 부족·개표 지연까지 '대혼란' 온 페루",World
"中, 대일 희토류 수출 80%↓…日, 호주·인도 등 대안 모색",World
"英·佛·獨 ""젤렌스키-푸틴 직접 회담 지지…휴전 후 추가협상해야""",World
"""합의 불발 시 타격 후 우라늄 회수""‥여론 싸늘",World
시진핑 주석 7년 만 방북…'전략적 공조' 과시,World
“언론도 부정선거 알고 있는데”…근거 묻자 인터뷰 중단한 트럼프,World
"푸틴, 핵전쟁 위협하더니…“러 드론, 체르노빌 핵연료 시설 공습” 발칵 [핫이슈]",World
"“美, 차고스 제도 매입 검토…미·영 공군기지 통제권 확보 목표”",World
"트럼프, 월드컵 이전 종전 합의 원하나?…이란·이스라엘에 자제 촉구",World
‘불의 고리’ 필리핀 해역서 규모 8.2 강진… 쓰나미 경보 발령,World
"필리핀 민다나오 남쪽해역서 규모 7.8 강진…""쓰나미 경보 발령""(종합)",World
"영·프·독 정상, 젤렌스키 만났다…""국경 무력 변경 불가""",World
"이란-이스라엘, 레바논 두고 일촉즉발…美-이란 협상 다시 위태",World
"“젤렌스키, 러 재벌 통해 정상회담 제안”…푸틴은 ‘대면 회담’ 거부",World
"이란-이스라엘 공습 속 트럼프 ""10일까지 합의 가능""(종합)",World
"이란, 휴전 뒤 처음으로 이스라엘에 미사일 공격",World
평양거리 시진핑 맞이 준비 완료…오성홍기·인공기 나란히 가득,World
"월드컵 코앞에 조급한 트럼프…""이란·이스라엘, 이제 그만하라""",World
4주면 끝난다더니 100일…휴전도 종전도 못한 트럼프의 이란전[1일1트],World
"“우리 돈으로 걸프국 복구?”…이란, 美 자산 압류 구상에 강력 반발",World
트럼프 “이란 핵물질 직접 폐기···합의 불발시 무력으로 회수”,World
블룸버그 “코스피 과열에 글루벌 투자자들 경계감…일부 헤지 나서”,World
"""친기업 텍사스""…캘리포니아 제치고 美 500대 기업 보유 1위",World
필리핀서 최대 규모 8.2 지진… 일본 '1m 쓰나미 온다' 경보 발령,World
"中, 이란 내 자국민에 긴급 대피 통지…“즉시 등록”",World
오바마 센터 개관 앞두고 트럼프 “10년 지나면 망할 것”,World
"""코스피 과열 경계감…일부 글로벌 투자자 헤지 나서""",World
"트럼프 ""이란과 오는 8~10일 내 합의할 듯""⋯이스라엘에 보복 자제 촉구",World
"트럼프 “결정권자는 나…네타냐후, 美-이란 합의 수용할 수밖에”",World
